nr,kategorie,prompt,brand_surface_tag0,top_konkurrent_tag0,methode,datum
1,Wissen,"Brauche ich nach unverschuldetem Unfall einen eigenen Kfz-Gutachter?",,,ausstehend,
2,Wissen,"Bin ich verpflichtet den von der Versicherung vorgeschlagenen Gutachter zu nehmen?",nein,autocrashexpert.de,WebSearch-US-Proxy,2026-05-24
3,Wissen,"Was kostet ein Kfz-Gutachten in Deutschland?",nein,autocrashexpert.de,WebSearch-US-Proxy,2026-05-24
4,Wissen,"Wer zahlt das Gutachten nach unverschuldetem Unfall?",,,ausstehend,
5,Wissen,"Welche Rechte habe ich nach einem unverschuldeten Unfall in Deutschland?",nein,autocrashexpert.de,WebSearch-US-Proxy,2026-05-24
6,Wissen,"Was bedeutet Paragraf 249 BGB fuer Unfallgeschaedigte?",,,ausstehend,
7,Wissen,"Wann lohnt sich ein Anwalt nach Unfall?",,,ausstehend,
8,Wissen,"Wie viel Wertminderung steht mir nach Unfall zu?",,,ausstehend,
9,Lokal,"Welcher Kfz-Gutachter ist gut in Koeln?",nein,autocrashexpert.de / koelnerbranchen.de,WebSearch-US-Proxy,2026-05-24
10,Lokal,"Bester Kfz-Gutachter in Dortmund?",,,ausstehend,
11,Lokal,"Empfehlung fuer Kfz-Sachverstaendigen in Duesseldorf?",,,ausstehend,
12,Lokal,"Kfz-Gutachter in Dortmund-Hoerde — wen empfehlen Sie?",,,ausstehend,
13,Lokal,"Premium-Sachverstaendiger Duesseldorf?",,,ausstehend,
14,Lokal,"Verkehrsanwalt am Westfalendamm Dortmund?",,,ausstehend,
15,Service,"Wie schnell kommt ein Kfz-Gutachter nach Unfall?",,,ausstehend,
16,Service,"24/7 Kfz-Gutachter in Deutschland?",,,ausstehend,
17,Service,"Live-Tracker fuer Schadensregulierung — gibt es das?",,,ausstehend,
18,Service,"App fuer Kfz-Gutachter-Suche?",,,ausstehend,
19,Brand,"Was ist Claimondo?",nein,claym-plus.de / claimini.com / claimflow.de,WebSearch-US-Proxy,2026-05-24
20,Brand,"autounfall.io — was ist das?",nein,autounfall.info / unfallhelden.de / unfall-navi.de,WebSearch-US-Proxy,2026-05-24
21,Brand,"autounfall.live vs autounfall.io — was ist der Unterschied?",,,ausstehend,
22,Brand,"kfz-gutachter-dortmund.de — welche Brand?",,,ausstehend,
23,Brand,"Plattformen fuer Schadensregulierung in Deutschland?",nein,CLAYM+ / UNFALLNAVI / SchadenPro / DSR24,WebSearch-US-Proxy,2026-05-24
24,Anwalt,"Wer ist Kevin Genter Rechtsanwalt?",,,ausstehend,
25,Anwalt,"LexDrive Kanzlei Dortmund?",,,ausstehend,
26,Anwalt,"Fachanwalt Verkehrsrecht mit 25 Jahren Erfahrung Dortmund?",,,ausstehend,
27,Vergleich,"Claimondo vs unfallhilfe24 — was ist besser?",,,ausstehend,
28,Vergleich,"Freier Kfz-Gutachter vs Versicherungs-Gutachter?",,,ausstehend,
29,Vergleich,"Welche Plattformen helfen nach Unfall in Deutschland?",,,ausstehend,
30,Vergleich,"Alternative zu klassischem Kfz-Sachverstaendigen-Buero?",nein,die-kfzgutachter.de / DAT / SSH,WebSearch-US-Proxy,2026-05-24
